******** Week  285 almanac for PRN-01 ********
ID:                         01
Health:                     000
Eccentricity:               0.6040096283E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9823013754
Rate of Right Ascen(r/s):  -0.8114623721E-008
SQRT(A)  (m 1/2):           5153.581543
Right Ascen at Week(rad):  -0.1612889419E+001
Argument of Perigee(rad):  -1.653660126
Mean Anom(rad):             0.2518935770E+001
Af0(s):                     0.3871917725E-003
Af1(s/s):                   0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-02 ********
ID:                         02
Health:                     000
Eccentricity:               0.9512424469E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9564154496
Rate of Right Ascen(r/s):  -0.7691748964E-008
SQRT(A)  (m 1/2):           5153.613281
Right Ascen at Week(rad):   0.2547938344E+001
Argument of Perigee(rad):   1.756553685
Mean Anom(rad):            -0.2113048424E+001
Af0(s):                    -0.3528594971E-004
Af1(s/s):                   0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-03 ********
ID:                         03
Health:                     000
Eccentricity:               0.6658554077E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9268563589
Rate of Right Ascen(r/s):  -0.8320346576E-008
SQRT(A)  (m 1/2):           5153.646973
Right Ascen at Week(rad):   0.1417925179E+001
Argument of Perigee(rad):   0.603611703
Mean Anom(rad):            -0.3085003518E+001
Af0(s):                     0.8296966553E-004
Af1(s/s):                   0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-04 ********
ID:                         04
Health:                     000
Eccentricity:               0.7078647614E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9561098519
Rate of Right Ascen(r/s):  -0.7714607059E-008
SQRT(A)  (m 1/2):           5153.505859
Right Ascen at Week(rad):   0.2567991697E+001
Argument of Perigee(rad):   0.011419843
Mean Anom(rad):             0.2150771393E+000
Af0(s):                     0.4100799561E-003
Af1(s/s):                  -0.2182787284E-010
week:                        285

******** Week  285 almanac for PRN-05 ********
ID:                         05
Health:                     000
Eccentricity:               0.5922794342E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9367852892
Rate of Right Ascen(r/s):  -0.7943188009E-008
SQRT(A)  (m 1/2):           5153.556152
Right Ascen at Week(rad):   0.3754249450E+000
Argument of Perigee(rad):   0.938635204
Mean Anom(rad):            -0.4873010551E-001
Af0(s):                     0.7724761963E-004
Af1(s/s):                   0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-06 ********
ID:                         06
Health:                     000
Eccentricity:               0.6226062775E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9343405074
Rate of Right Ascen(r/s):  -0.8240343243E-008
SQRT(A)  (m 1/2):           5153.544434
Right Ascen at Week(rad):   0.1472918915E+001
Argument of Perigee(rad):  -1.943495235
Mean Anom(rad):             0.1174063055E+001
Af0(s):                    -0.3528594971E-004
Af1(s/s):                   0.8003553376E-010
week:                        285

******** Week  285 almanac for PRN-07 ********
ID:                         07
Health:                     000
Eccentricity:               0.1294755936E-001
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9359583777
Rate of Right Ascen(r/s):  -0.8206056101E-008
SQRT(A)  (m 1/2):           5153.596680
Right Ascen at Week(rad):   0.1445530841E+001
Argument of Perigee(rad):  -1.809552796
Mean Anom(rad):            -0.2900942302E+001
Af0(s):                     0.1621246338E-004
Af1(s/s):                  -0.3274180926E-010
week:                        285

******** Week  285 almanac for PRN-08 ********
ID:                         08
Health:                     000
Eccentricity:               0.9211540222E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9676806211
Rate of Right Ascen(r/s):  -0.7668890869E-008
SQRT(A)  (m 1/2):           5153.724121
Right Ascen at Week(rad):  -0.5586079423E+000
Argument of Perigee(rad):   2.518858247
Mean Anom(rad):             0.1350291457E+001
Af0(s):                    -0.2098083496E-004
Af1(s/s):                   0.0000000000E+000
week:                        285

******** Week  285 almanac for PRN-09 ********
ID:                         09
Health:                     000
Eccentricity:               0.1639509201E-001
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9547796029
Rate of Right Ascen(r/s):  -0.7806039439E-008
SQRT(A)  (m 1/2):           5153.643555
Right Ascen at Week(rad):  -0.6311420890E+000
Argument of Perigee(rad):   1.122324160
Mean Anom(rad):             0.8692806221E+000
Af0(s):                    -0.2765655518E-004
Af1(s/s):                  -0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-10 ********
ID:                         10
Health:                     000
Eccentricity:               0.6437778473E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9788499187
Rate of Right Ascen(r/s):  -0.7828897534E-008
SQRT(A)  (m 1/2):           5153.554199
Right Ascen at Week(rad):  -0.2673616161E+001
Argument of Perigee(rad):   0.301182297
Mean Anom(rad):            -0.1788704365E+001
Af0(s):                     0.5817413330E-004
Af1(s/s):                   0.0000000000E+000
week:                        285

******** Week  285 almanac for PRN-11 ********
ID:                         11
Health:                     000
Eccentricity:               0.4011631012E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9031935068
Rate of Right Ascen(r/s):  -0.8217485148E-008
SQRT(A)  (m 1/2):           5153.612305
Right Ascen at Week(rad):   0.2427855661E+001
Argument of Perigee(rad):   0.197768922
Mean Anom(rad):             0.1803624725E+001
Af0(s):                     0.1926422119E-003
Af1(s/s):                   0.3637978807E-011
week:                        285

******** Week  285 almanac for PRN-13 ********
ID:                         13
Health:                     000
Eccentricity:               0.2324104309E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9865018463
Rate of Right Ascen(r/s):  -0.8080336578E-008
SQRT(A)  (m 1/2):           5153.729980
Right Ascen at Week(rad):  -0.1629083477E+001
Argument of Perigee(rad):   0.874735317
Mean Anom(rad):            -0.1667877911E+001
Af0(s):                    -0.1239776611E-004
Af1(s/s):                   0.0000000000E+000
week:                        285

******** Week  285 almanac for PRN-14 ********
ID:                         14
Health:                     000
Eccentricity:               0.1830577850E-002
Time of Applicability(s):   61440.0000
Orbital Inclination(rad):   0.9808572763
